season,avoid_origin,avoid_dest,avoid_risk,swap_dest,swap_risk,risk_reduction
Summer (Jun-Aug),LAX,SLC,67.16688683141776,HRL,28.312126782198675,38.85476004921908
Summer (Jun-Aug),MCO,MAF,68.81845550210802,HRL,29.994349102491487,38.82410639961654
Winter (Dec-Feb),IAH,SFO,66.29010038964283,HRL,27.488664664830882,38.80143572481195
Winter (Dec-Feb),SFO,LIT,65.25496125976024,HRL,26.461059022142337,38.7939022376179
Spring (Mar-May),LGA,TPA,65.02978603852398,SAF,26.35353159437374,38.67625444415024
Winter (Dec-Feb),IAH,CLT,66.12261613545463,HRL,27.488664664830882,38.63395147062376
Summer (Jun-Aug),IAH,SAN,65.37265425565977,HRL,26.741992567668415,38.63066168799135
Summer (Jun-Aug),IAH,MAF,65.3601046401849,HRL,26.741992567668415,38.61811207251648
Winter (Dec-Feb),PHX,MIA,65.67372619984664,HRL,27.108124252869185,38.56560194697745
Winter (Dec-Feb),LGA,AUS,65.9415181488659,HRL,27.377653842215565,38.56386430665033
Summer (Jun-Aug),LAX,LIT,66.80684487738806,HRL,28.312126782198675,38.494718095189384
Winter (Dec-Feb),SAN,SHV,66.35183935097267,HRL,27.883397668212055,38.46844168276061
Summer (Jun-Aug),MIA,EWR,66.96227608826882,HRL,28.52465206318216,38.43762402508666
Summer (Jun-Aug),MAF,TPA,66.51081341346463,HRL,28.099724458512394,38.411088954952234
Summer (Jun-Aug),MIA,SAT,66.9255366572028,HRL,28.52465206318216,38.40088459402064
Winter (Dec-Feb),IAH,AUS,65.87621035631867,HRL,27.488664664830882,38.38754569148779
Winter (Dec-Feb),LAX,BOS,66.33792642760537,HRL,27.963635361808272,38.374291065797095
Summer (Jun-Aug),MIA,OKC,66.8317030819804,HRL,28.52465206318216,38.307051018798234
Winter (Dec-Feb),SAT,SFO,65.85146489703322,HRL,27.595626408024923,38.2558384890083
Spring (Mar-May),IAH,MIA,66.64287746398337,SAF,28.387936955703502,38.254940508279866
Summer (Jun-Aug),MCO,PNS,68.22171411081197,HRL,29.994349102491487,38.22736500832049
Summer (Jun-Aug),LAX,TPA,66.49258637207781,HRL,28.312126782198675,38.180459589879135
Summer (Jun-Aug),PHX,DTW,65.07389517264637,HRL,26.911666036713456,38.16222913593292
Winter (Dec-Feb),IAH,SEA,65.61510112474775,HRL,27.488664664830882,38.126436459916874
Winter (Dec-Feb),PHX,AUS,65.20891248169127,HRL,27.108124252869185,38.10078822882208
Winter (Dec-Feb),SAN,ELP,65.62283202684229,HRL,27.883397668212055,37.739434358630234
Summer (Jun-Aug),SAT,LIT,65.2724196699099,HRL,27.671338134586037,37.60108153532386
Winter (Dec-Feb),LAX,DCA,65.41593112095092,HRL,27.963635361808272,37.45229575914264
Summer (Jun-Aug),LIT,SHV,65.27047511857737,HRL,27.94640506488612,37.324070053691244
